content,author,media_type,media_url
"Advanced machine learning: From theory to production deployment with best practices","ml_researcher","image","https://images.example.com/ml-advanced.jpg"
"React performance optimization: Code splitting and lazy loading explained","frontend_expert","image","https://images.example.com/react-perf.jpg"
"Docker containerization: Build, ship, and run applications everywhere","devops_master","video","https://videos.example.com/docker-tutorial.mp4"
"Golden hour photography: Capturing perfect light at sunset and sunrise 📸","photographer_pro","image","https://images.example.com/golden-hour-2.jpg"
"Travel vlog: Exploring hidden gems in Barcelona's Gothic Quarter 🏛️","travel_vlogger","video","https://videos.example.com/barcelona.mp4"
"Homemade sourdough bread: Master the fermentation process for perfect crumb","bread_baker","image","https://images.example.com/sourdough-loaf.jpg"
"HIIT workout for busy professionals: 20-minute full-body training","fitness_coach","video","https://videos.example.com/hiit-20min.mp4"
"GraphQL vs REST APIs: Performance comparison and use cases","api_architect","image","https://images.example.com/graphql-rest.jpg"
"Yoga for stress relief: 30-minute mindfulness and breathing exercises","yoga_instructor","video","https://videos.example.com/yoga-stress.mp4"
"Landscape photography tips: Composition and location scouting guide","nature_photographer","image","https://images.example.com/landscape-tips.jpg"
"Python decorators and metaclasses: Advanced programming patterns","python_expert","image","https://images.example.com/python-advanced.jpg"
"Thai street food guide: Authentic recipes from Bangkok markets","food_blogger","image","https://images.example.com/thai-food.jpg"
"Kubernetes orchestration: Managing containerized microservices at scale","k8s_expert","video","https://videos.example.com/kubernetes-guide.mp4"
"Portrait photography: Lighting techniques for studio and outdoor shoots","portrait_artist","image","https://images.example.com/portrait-lighting.jpg"
"Vegan baking: Egg and dairy-free recipes that taste amazing","vegan_baker","image","https://images.example.com/vegan-brownies.jpg"
"Cloud architecture: AWS, Google Cloud, and Azure comparison","cloud_architect","image","https://images.example.com/cloud-comparison.jpg"
"Pilates core strengthening: Build abs and back stability in 15 minutes","pilates_instructor","video","https://videos.example.com/pilates-core.mp4"
"Drone photography: Aerial perspectives and composition techniques 🚁","drone_pilot","video","https://videos.example.com/drone-aerial.mp4"
"Espresso mastery: Extraction, crema, and pulling the perfect shot","coffee_expert","image","https://images.example.com/espresso-guide.jpg"
"Git workflow optimization: Branching strategies and collaboration patterns","version_control","image","https://images.example.com/git-workflow.jpg"
"Minimalist interior design: Small spaces with maximum style","interior_designer","image","https://images.example.com/minimalist-room.jpg"
"Marathon training: 16-week program for first-time runners","running_coach","image","https://images.example.com/marathon-plan.jpg"
"Video editing with DaVinci Resolve: Professional color grading techniques","video_editor","video","https://videos.example.com/davinci-color.mp4"
"Data structure algorithms: Sorting, searching, and optimization","computer_scientist","image","https://images.example.com/algorithms.jpg"
"Fashion styling: Creating a timeless capsule wardrobe 👗","fashion_consultant","image","https://images.example.com/capsule-wardrobe.jpg"
"Meditation for beginners: Simple techniques to find inner peace","mindfulness_coach","video","https://videos.example.com/meditation-basics.mp4"
"Macro photography: Getting close to nature's tiny details","macro_enthusiast","image","https://images.example.com/macro-flowers.jpg"
"JavaScript async patterns: Promises, async/await, and callbacks","javascript_dev","image","https://images.example.com/js-async.jpg"
"Healthy meal prep: Batch cooking for 7 days of nutrition 🥗","nutrition_coach","image","https://images.example.com/meal-prep-week.jpg"
"Sushi rolling mastery: Authentic Japanese techniques and recipes","sushi_chef","video","https://videos.example.com/sushi-making.mp4"
"Cybersecurity fundamentals: Protecting your digital life","security_expert","image","https://images.example.com/cyber-security.jpg"
"Urban photography: Finding beauty in city streets and architecture 🌃","city_photographer","image","https://images.example.com/urban-street.jpg"
"TypeScript advanced types: Generics, unions, and type guards","typescript_expert","image","https://images.example.com/typescript-types.jpg"
"Bouldering workout: Strength training through rock climbing","climbing_coach","video","https://videos.example.com/bouldering.mp4"
"Wildlife photography: Tracking and capturing animals in nature","wildlife_photographer","image","https://images.example.com/wildlife-safari.jpg"
"DevOps best practices: CI/CD pipelines and infrastructure as code","devops_engineer","image","https://images.example.com/devops-pipeline.jpg"
"Dessert recipes: Chocolate, caramel, and pastry tutorials 🍰","pastry_chef","image","https://images.example.com/desserts.jpg"
"Web accessibility: Building inclusive websites for everyone","accessibility_expert","image","https://images.example.com/web-a11y.jpg"
"Swimming technique: Freestyle, breaststroke, and endurance training","swim_coach","video","https://videos.example.com/swimming-technique.mp4"
"Garden planning: Grow vegetables and herbs at home 🌱","gardening_expert","image","https://images.example.com/vegetable-garden.jpg"
"REST API design: Best practices and common mistakes","api_designer","image","https://images.example.com/rest-api.jpg"
"Tai Chi for balance and flexibility: Ancient martial art for wellness","tai_chi_master","video","https://videos.example.com/tai-chi.mp4"
"Street art exploration: Discovering murals and graffiti culture","art_enthusiast","image","https://images.example.com/street-art.jpg"
"Mobile app development: React Native cross-platform guide","mobile_dev","image","https://images.example.com/react-native.jpg"
"Salsa dancing: Learning steps and finding rhythm 💃","dance_instructor","video","https://videos.example.com/salsa-dance.mp4"
"Night photography: Long exposure and starry skies","night_photographer","image","https://images.example.com/stars.jpg"
"Machine learning pipelines: Data preparation and model training","ml_engineer","image","https://images.example.com/ml-pipeline.jpg"
"Italian cooking: Traditional pasta dishes and sauces","italian_chef","image","https://images.example.com/italian-pasta.jpg"
"Web scraping ethically: Tools and techniques for data collection","data_scientist","image","https://images.example.com/web-scraping.jpg"
